leg_id,shadow_id,game_id,kickoff_at,away_team,home_team,market,side,line_at_take,price_at_take,american_price_at_take,decimal_price_at_take,closing_data_available,closing_line,closing_price_american,closing_price_decimal,clv_no_vig,result,notes
160306dc-2fa2-40f4-8be0-b83ed23f6b9d,f910cf51-fca9-4c05-a429-3e63cfc83813,,2026-09-17T20:15:00-04:00,DET,BUF,spread,BUF,-5.5,,,,true,,,,,win,ONE_TIME_BACKFILL. RECONSTRUCTED (Erik 2026-09-18; not decision-time). DET@BUF 2026-09-17 BUF -5.5. Final DET 31 BUF 41 → cover win (10 > 5.5). VERIFY(2026-09-18): game_id; price_at_take / american_price_at_take (do not invent -110 from builder; DK/HR only).
1fc2c8f0-3568-4434-b05a-bcaee6a402ec,f910cf51-fca9-4c05-a429-3e63cfc83813,,2026-09-17T20:15:00-04:00,DET,BUF,total,over,54.5,,,,true,,,,,win,ONE_TIME_BACKFILL. RECONSTRUCTED (Erik 2026-09-18; not decision-time). DET@BUF 2026-09-17 Over 54.5. Final 72 → over win. VERIFY(2026-09-18): game_id; price_at_take / american_price_at_take (do not invent -110 from builder; DK/HR only).
837f0515-b479-4e9c-a425-2bc63c7a4b68,45097953-0994-43ca-ba64-7a671ee9c5f1,,2026-09-17T20:15:00-04:00,DET,BUF,ml,BUF,,,,,true,,,,,win,ONE_TIME_BACKFILL. RECONSTRUCTED (Erik 2026-09-18; not decision-time). DET@BUF 2026-09-17 BUF ML. Final BUF 41 DET 31 → ML win. VERIFY(2026-09-18): game_id; price_at_take / american_price_at_take (do not invent; DK/HR only).
98f919e1-30d6-41bb-90e7-f58933390aea,45097953-0994-43ca-ba64-7a671ee9c5f1,,2026-09-17T20:15:00-04:00,DET,BUF,total,over,54.5,,,,true,,,,,win,ONE_TIME_BACKFILL. RECONSTRUCTED (Erik 2026-09-18; not decision-time). DET@BUF 2026-09-17 Over 54.5. Final 72 → over win. VERIFY(2026-09-18): game_id; price_at_take / american_price_at_take (do not invent -110 from builder; DK/HR only).
81f78d73-6763-4e15-8121-21195c899373,45097953-0994-43ca-ba64-7a671ee9c5f1,,2026-09-17T20:15:00-04:00,DET,BUF,team_total,BUF,30.5,,,,true,,,,,win,ONE_TIME_BACKFILL. RECONSTRUCTED (Erik 2026-09-18; not decision-time). DET@BUF 2026-09-17 BUF team_total Over 30.5 (side=BUF line=30.5). Final BUF 41 → TT over win. VERIFY(2026-09-18): game_id; price_at_take / american_price_at_take (do not invent; DK/HR only).
f7fc5970-dfa8-492d-8774-d56cbe5475e7,03d16e70-a7b2-4bc6-bf00-f4a0e909a6b1,,2026-09-17T20:15:00-04:00,DET,BUF,ml,BUF,,,,,true,,,,,win,ONE_TIME_BACKFILL. RECONSTRUCTED (Erik 2026-09-18; not decision-time). DET@BUF 2026-09-17 BUF ML. Final BUF 41 DET 31 → ML win. VERIFY(2026-09-18): game_id; price_at_take / american_price_at_take (do not invent; DK/HR only).
535447c5-59e8-445c-ba25-b5a1d7b16f82,03d16e70-a7b2-4bc6-bf00-f4a0e909a6b1,,2026-09-17T20:15:00-04:00,DET,BUF,total,over,54.5,,,,true,,,,,win,ONE_TIME_BACKFILL. RECONSTRUCTED (Erik 2026-09-18; not decision-time). DET@BUF 2026-09-17 Over 54.5. Final 72 → over win. VERIFY(2026-09-18): game_id; price_at_take / american_price_at_take (do not invent -110 from builder; DK/HR only).
e7324e47-5de9-4cea-a853-01dc528377dd,03d16e70-a7b2-4bc6-bf00-f4a0e909a6b1,,2026-09-17T20:15:00-04:00,DET,BUF,anytime_td,Amon-Ra St. Brown,,,,,false,,,,,win,ONE_TIME_BACKFILL. RECONSTRUCTED (Erik 2026-09-18; not decision-time). DET@BUF 2026-09-17 anytime_td Amon-Ra St. Brown (ARSB). CONFIRMED 2 TDs (9/142/2) in DET 31 BUF 41 — source Lions.com week-2 recap / CBS gametracker 2026-09-17. closing_data_available=false forever; no closing fields. VERIFY(2026-09-18): game_id; price_at_take / american_price_at_take (do not invent; DK/HR only).
f1f32c22-a3e1-4d62-834b-88be2e934ccc,2e1c746f-7a83-4fa8-a9a1-ba6d9ca67fc3,,2026-09-20T16:25:00-04:00,SEA,ARI,spread,SEA,-4.5,,,,true,,,,,pending,ONE_TIME_BACKFILL. RECONSTRUCTED (Erik 2026-09-18; not decision-time). SEA@ARI Week 2 2026-09-20 kickoff 16:25 ET. spread SEA -4.5. result=pending. VERIFY(2026-09-18): game_id; price_at_take / american_price_at_take (do not invent; no locked DK/HR both-sides at decision).
8613c2be-748b-417f-8498-439fdca106b7,2e1c746f-7a83-4fa8-a9a1-ba6d9ca67fc3,,2026-09-20T16:25:00-04:00,SEA,ARI,total,over,41.5,,,,true,,,,,pending,ONE_TIME_BACKFILL. RECONSTRUCTED (Erik 2026-09-18; not decision-time). SEA@ARI Week 2 2026-09-20 kickoff 16:25 ET. total Over 41.5. result=pending. VERIFY(2026-09-18): game_id; price_at_take / american_price_at_take (do not invent; no locked DK/HR both-sides at decision).
c173979c-0856-4b1a-989b-ff39f88495b1,784fdf35-cfe6-4069-8e75-dcfddc586d53,2026_02_NO_BAL,2026-09-20T13:00:00-04:00,NO,BAL,total,over,46.5,,+102,2.02,true,,,,,pending,decision-time (Erik skip 2026-09-19 ~12:42p ET). C7 taken-side DK Over 46.5 +102 NO@BAL Week 2. other-side Under -122 on sibling shadow_leg.
7a97dadc-ded6-4af1-aaea-c1fa93a3256f,784fdf35-cfe6-4069-8e75-dcfddc586d53,2026_02_NO_BAL,2026-09-20T13:00:00-04:00,NO,BAL,total,under,46.5,,-122,1.8197,true,,,,,pending,decision-time (Erik skip 2026-09-19 ~12:42p ET). C7 other-side audit DK Under 46.5 -122 (not the skipped take; both-sides lock).
73711069-c44c-4e97-b5b7-ee3f61225bf4,67df264a-3bfc-4758-b392-dde0e0942da2,2026_02_GB_NYJ,2026-09-20T13:00:00-04:00,GB,NYJ,spread,GB,-3.5,,-105,1.9524,true,,,,,pending,decision-time (Erik skip 2026-09-19 ~12:42p ET). C8 taken-side WHERE=HR GB -3.5 -105 GB@NYJ Week 2. other-side NYJ +3.5 +115 on sibling shadow_leg.
f505889a-074c-4fb1-a23e-59e9859678ff,67df264a-3bfc-4758-b392-dde0e0942da2,2026_02_GB_NYJ,2026-09-20T13:00:00-04:00,GB,NYJ,spread,NYJ,3.5,,+115,2.15,true,,,,,pending,decision-time (Erik skip 2026-09-19 ~12:42p ET). C8 other-side audit WHERE=HR NYJ +3.5 +115 (not the skipped take; both-sides lock).
